geoName,depression
Alabama,80
Alaska,75
Arizona,73
Arkansas,81
California,69
Colorado,77
Connecticut,86
Delaware,73
District of Columbia,58
Florida,66
Georgia,65
Hawaii,72
Idaho,89
Illinois,73
Indiana,89
Iowa,81
Kansas,84
Kentucky,81
Louisiana,71
Maine,91
Maryland,77
Massachusetts,78
Michigan,80
Minnesota,79
Mississippi,84
Missouri,78
Montana,79
Nebraska,79
Nevada,73
New Hampshire,94
New Jersey,78
New Mexico,82
New York,71
North Carolina,73
North Dakota,94
Ohio,79
Oklahoma,77
Oregon,78
Pennsylvania,85
Rhode Island,85
South Carolina,77
South Dakota,83
Tennessee,79
Texas,66
Utah,84
Vermont,90
Virginia,75
Washington,74
West Virginia,100
Wisconsin,80
Wyoming,100
