geoName,depression
Alabama,82
Alaska,69
Arizona,77
Arkansas,95
California,70
Colorado,73
Connecticut,83
Delaware,82
District of Columbia,61
Florida,62
Georgia,69
Hawaii,69
Idaho,95
Illinois,71
Indiana,89
Iowa,97
Kansas,67
Kentucky,82
Louisiana,74
Maine,90
Maryland,77
Massachusetts,80
Michigan,82
Minnesota,82
Mississippi,78
Missouri,79
Montana,80
Nebraska,77
Nevada,67
New Hampshire,80
New Jersey,76
New Mexico,75
New York,67
North Carolina,77
North Dakota,87
Ohio,82
Oklahoma,73
Oregon,59
Pennsylvania,83
Rhode Island,82
South Carolina,74
South Dakota,94
Tennessee,75
Texas,69
Utah,88
Vermont,85
Virginia,50
Washington,70
West Virginia,100
Wisconsin,82
Wyoming,95
