geoName,depression
Alabama,82
Alaska,77
Arizona,76
Arkansas,91
California,73
Colorado,76
Connecticut,87
Delaware,92
District of Columbia,61
Florida,64
Georgia,68
Hawaii,73
Idaho,89
Illinois,76
Indiana,88
Iowa,86
Kansas,81
Kentucky,84
Louisiana,81
Maine,100
Maryland,78
Massachusetts,82
Michigan,82
Minnesota,80
Mississippi,75
Missouri,77
Montana,80
Nebraska,81
Nevada,65
New Hampshire,86
New Jersey,81
New Mexico,96
New York,72
North Carolina,79
North Dakota,80
Ohio,82
Oklahoma,74
Oregon,53
Pennsylvania,89
Rhode Island,92
South Carolina,81
South Dakota,91
Tennessee,75
Texas,70
Utah,84
Vermont,98
Virginia,74
Washington,77
West Virginia,99
Wisconsin,83
Wyoming,89
