date,depression,isPartial
2014-01-05,57,False
2014-01-12,61,False
2014-01-19,65,False
2014-01-26,66,False
2014-02-02,65,False
2014-02-09,65,False
2014-02-16,66,False
2014-02-23,74,False
2014-03-02,69,False
2014-03-09,69,False
2014-03-16,69,False
2014-03-23,68,False
2014-03-30,70,False
2014-04-06,73,False
2014-04-13,65,False
2014-04-20,71,False
2014-04-27,71,False
2014-05-04,67,False
2014-05-11,66,False
2014-05-18,63,False
2014-05-25,60,False
2014-06-01,54,False
2014-06-08,52,False
2014-06-15,51,False
2014-06-22,49,False
2014-06-29,52,False
2014-07-06,49,False
2014-07-13,49,False
2014-07-20,50,False
2014-07-27,49,False
2014-08-03,46,False
2014-08-10,100,False
2014-08-17,65,False
2014-08-24,60,False
2014-08-31,59,False
2014-09-07,60,False
2014-09-14,66,False
2014-09-21,65,False
2014-09-28,67,False
2014-10-05,66,False
2014-10-12,65,False
2014-10-19,66,False
2014-10-26,69,False
2014-11-02,70,False
2014-11-09,72,False
2014-11-16,70,False
2014-11-23,59,False
2014-11-30,74,False
2014-12-07,70,False
2014-12-14,62,False
2014-12-21,45,False
2014-12-28,49,False
