date,lonely,isPartial
2016-01-03,83,False
2016-01-10,84,False
2016-01-17,87,False
2016-01-24,79,False
2016-01-31,79,False
2016-02-07,83,False
2016-02-14,89,False
2016-02-21,78,False
2016-02-28,75,False
2016-03-06,80,False
2016-03-13,81,False
2016-03-20,81,False
2016-03-27,84,False
2016-04-03,87,False
2016-04-10,89,False
2016-04-17,87,False
2016-04-24,84,False
2016-05-01,81,False
2016-05-08,90,False
2016-05-15,100,False
2016-05-22,99,False
2016-05-29,98,False
2016-06-05,94,False
2016-06-12,85,False
2016-06-19,83,False
2016-06-26,83,False
2016-07-03,86,False
2016-07-10,82,False
2016-07-17,78,False
2016-07-24,78,False
2016-07-31,73,False
2016-08-07,72,False
2016-08-14,76,False
2016-08-21,75,False
2016-08-28,77,False
2016-09-04,78,False
2016-09-11,75,False
2016-09-18,79,False
2016-09-25,74,False
2016-10-02,76,False
2016-10-09,73,False
2016-10-16,74,False
2016-10-23,78,False
2016-10-30,75,False
2016-11-06,65,False
2016-11-13,75,False
2016-11-20,79,False
2016-11-27,78,False
2016-12-04,80,False
2016-12-11,76,False
2016-12-18,80,False
2016-12-25,78,False
