date,lonely,isPartial
2012-01-01,96,False
2012-01-08,100,False
2012-01-15,89,False
2012-01-22,89,False
2012-01-29,90,False
2012-02-05,87,False
2012-02-12,89,False
2012-02-19,85,False
2012-02-26,83,False
2012-03-04,86,False
2012-03-11,85,False
2012-03-18,82,False
2012-03-25,83,False
2012-04-01,81,False
2012-04-08,87,False
2012-04-15,82,False
2012-04-22,81,False
2012-04-29,84,False
2012-05-06,84,False
2012-05-13,86,False
2012-05-20,81,False
2012-05-27,83,False
2012-06-03,85,False
2012-06-10,80,False
2012-06-17,76,False
2012-06-24,79,False
2012-07-01,76,False
2012-07-08,70,False
2012-07-15,74,False
2012-07-22,74,False
2012-07-29,74,False
2012-08-05,71,False
2012-08-12,70,False
2012-08-19,72,False
2012-08-26,71,False
2012-09-02,75,False
2012-09-09,68,False
2012-09-16,71,False
2012-09-23,72,False
2012-09-30,71,False
2012-10-07,70,False
2012-10-14,69,False
2012-10-21,71,False
2012-10-28,66,False
2012-11-04,64,False
2012-11-11,72,False
2012-11-18,75,False
2012-11-25,68,False
2012-12-02,72,False
2012-12-09,76,False
2012-12-16,72,False
2012-12-23,80,False
2012-12-30,77,False
