geoName,lonely
Alabama,61
Alaska,100
Arizona,66
Arkansas,65
California,73
Colorado,74
Connecticut,73
Delaware,74
District of Columbia,68
Florida,60
Georgia,63
Hawaii,79
Idaho,72
Illinois,67
Indiana,72
Iowa,69
Kansas,76
Kentucky,77
Louisiana,77
Maine,78
Maryland,67
Massachusetts,79
Michigan,73
Minnesota,66
Mississippi,66
Missouri,70
Montana,98
Nebraska,67
Nevada,66
New Hampshire,73
New Jersey,74
New Mexico,85
New York,75
North Carolina,69
North Dakota,87
Ohio,71
Oklahoma,68
Oregon,80
Pennsylvania,75
Rhode Island,71
South Carolina,75
South Dakota,69
Tennessee,66
Texas,67
Utah,64
Vermont,79
Virginia,74
Washington,78
West Virginia,80
Wisconsin,73
Wyoming,72
