geoName,lonely
Alabama,74
Alaska,100
Arizona,80
Arkansas,81
California,88
Colorado,82
Connecticut,77
Delaware,80
District of Columbia,85
Florida,71
Georgia,75
Hawaii,86
Idaho,88
Illinois,78
Indiana,81
Iowa,74
Kansas,77
Kentucky,77
Louisiana,80
Maine,99
Maryland,81
Massachusetts,83
Michigan,78
Minnesota,80
Mississippi,90
Missouri,78
Montana,86
Nebraska,74
Nevada,69
New Hampshire,79
New Jersey,80
New Mexico,96
New York,83
North Carolina,77
North Dakota,84
Ohio,78
Oklahoma,87
Oregon,84
Pennsylvania,80
Rhode Island,83
South Carolina,71
South Dakota,69
Tennessee,87
Texas,81
Utah,78
Vermont,96
Virginia,77
Washington,91
West Virginia,75
Wisconsin,78
Wyoming,89
