date,lonely,isPartial
2014-01-05,81,False
2014-01-12,82,False
2014-01-19,82,False
2014-01-26,82,False
2014-02-02,84,False
2014-02-09,98,False
2014-02-16,85,False
2014-02-23,76,False
2014-03-02,86,False
2014-03-09,92,False
2014-03-16,83,False
2014-03-23,84,False
2014-03-30,87,False
2014-04-06,87,False
2014-04-13,83,False
2014-04-20,88,False
2014-04-27,93,False
2014-05-04,91,False
2014-05-11,85,False
2014-05-18,92,False
2014-05-25,96,False
2014-06-01,100,False
2014-06-08,91,False
2014-06-15,88,False
2014-06-22,89,False
2014-06-29,89,False
2014-07-06,83,False
2014-07-13,91,False
2014-07-20,84,False
2014-07-27,85,False
2014-08-03,95,False
2014-08-10,84,False
2014-08-17,86,False
2014-08-24,80,False
2014-08-31,81,False
2014-09-07,84,False
2014-09-14,84,False
2014-09-21,77,False
2014-09-28,80,False
2014-10-05,77,False
2014-10-12,75,False
2014-10-19,79,False
2014-10-26,75,False
2014-11-02,84,False
2014-11-09,79,False
2014-11-16,77,False
2014-11-23,81,False
2014-11-30,77,False
2014-12-07,91,False
2014-12-14,81,False
2014-12-21,92,False
2014-12-28,87,False
