geoName,lonely
Alabama,85
Alaska,100
Arizona,75
Arkansas,79
California,83
Colorado,85
Connecticut,77
Delaware,90
District of Columbia,92
Florida,80
Georgia,91
Hawaii,90
Idaho,77
Illinois,89
Indiana,80
Iowa,78
Kansas,81
Kentucky,99
Louisiana,91
Maine,85
Maryland,83
Massachusetts,84
Michigan,84
Minnesota,80
Mississippi,95
Missouri,81
Montana,83
Nebraska,81
Nevada,80
New Hampshire,82
New Jersey,79
New Mexico,96
New York,87
North Carolina,91
North Dakota,83
Ohio,79
Oklahoma,87
Oregon,64
Pennsylvania,83
Rhode Island,86
South Carolina,95
South Dakota,88
Tennessee,95
Texas,82
Utah,73
Vermont,98
Virginia,80
Washington,83
West Virginia,79
Wisconsin,80
Wyoming,79
