date,lonely,isPartial
2011-01-02,50,False
2011-01-09,53,False
2011-01-16,48,False
2011-01-23,48,False
2011-01-30,64,False
2011-02-06,52,False
2011-02-13,55,False
2011-02-20,52,False
2011-02-27,50,False
2011-03-06,43,False
2011-03-13,43,False
2011-03-20,46,False
2011-03-27,50,False
2011-04-03,52,False
2011-04-10,48,False
2011-04-17,48,False
2011-04-24,43,False
2011-05-01,48,False
2011-05-08,100,False
2011-05-15,76,False
2011-05-22,71,False
2011-05-29,64,False
2011-06-05,53,False
2011-06-12,53,False
2011-06-19,52,False
2011-06-26,51,False
2011-07-03,50,False
2011-07-10,47,False
2011-07-17,48,False
2011-07-24,47,False
2011-07-31,50,False
2011-08-07,46,False
2011-08-14,47,False
2011-08-21,46,False
2011-08-28,43,False
2011-09-04,46,False
2011-09-11,44,False
2011-09-18,55,False
2011-09-25,44,False
2011-10-02,42,False
2011-10-09,43,False
2011-10-16,44,False
2011-10-23,46,False
2011-10-30,44,False
2011-11-06,43,False
2011-11-13,43,False
2011-11-20,47,False
2011-11-27,42,False
2011-12-04,51,False
2011-12-11,44,False
2011-12-18,49,False
2011-12-25,49,False
