geoName,lonely
Alabama,73
Alaska,100
Arizona,63
Arkansas,74
California,71
Colorado,72
Connecticut,64
Delaware,69
District of Columbia,69
Florida,60
Georgia,70
Hawaii,75
Idaho,63
Illinois,66
Indiana,67
Iowa,63
Kansas,61
Kentucky,75
Louisiana,76
Maine,73
Maryland,65
Massachusetts,70
Michigan,65
Minnesota,63
Mississippi,67
Missouri,68
Montana,81
Nebraska,69
Nevada,59
New Hampshire,69
New Jersey,62
New Mexico,73
New York,76
North Carolina,68
North Dakota,65
Ohio,62
Oklahoma,73
Oregon,60
Pennsylvania,68
Rhode Island,68
South Carolina,69
South Dakota,64
Tennessee,73
Texas,69
Utah,70
Vermont,72
Virginia,70
Washington,73
West Virginia,68
Wisconsin,70
Wyoming,63
