date,uneasy,isPartial
2012-01-01,77,False
2012-01-08,60,False
2012-01-15,55,False
2012-01-22,61,False
2012-01-29,71,False
2012-02-05,92,False
2012-02-12,63,False
2012-02-19,92,False
2012-02-26,93,False
2012-03-04,81,False
2012-03-11,64,False
2012-03-18,67,False
2012-03-25,64,False
2012-04-01,37,False
2012-04-08,64,False
2012-04-15,51,False
2012-04-22,66,False
2012-04-29,63,False
2012-05-06,84,False
2012-05-13,77,False
2012-05-20,57,False
2012-05-27,56,False
2012-06-03,37,False
2012-06-10,63,False
2012-06-17,45,False
2012-06-24,54,False
2012-07-01,62,False
2012-07-08,49,False
2012-07-15,61,False
2012-07-22,53,False
2012-07-29,59,False
2012-08-05,95,False
2012-08-12,85,False
2012-08-19,96,False
2012-08-26,50,False
2012-09-02,100,False
2012-09-09,53,False
2012-09-16,51,False
2012-09-23,71,False
2012-09-30,92,False
2012-10-07,65,False
2012-10-14,75,False
2012-10-21,66,False
2012-10-28,82,False
2012-11-04,77,False
2012-11-11,49,False
2012-11-18,58,False
2012-11-25,46,False
2012-12-02,73,False
2012-12-09,78,False
2012-12-16,82,False
2012-12-23,60,False
2012-12-30,75,False
