date,uneasy,isPartial
2015-01-04,74,False
2015-01-11,74,False
2015-01-18,56,False
2015-01-25,70,False
2015-02-01,70,False
2015-02-08,65,False
2015-02-15,58,False
2015-02-22,79,False
2015-03-01,74,False
2015-03-08,76,False
2015-03-15,54,False
2015-03-22,100,False
2015-03-29,58,False
2015-04-05,81,False
2015-04-12,62,False
2015-04-19,72,False
2015-04-26,59,False
2015-05-03,83,False
2015-05-10,55,False
2015-05-17,51,False
2015-05-24,61,False
2015-05-31,75,False
2015-06-07,64,False
2015-06-14,56,False
2015-06-21,33,False
2015-06-28,64,False
2015-07-05,54,False
2015-07-12,56,False
2015-07-19,66,False
2015-07-26,34,False
2015-08-02,61,False
2015-08-09,56,False
2015-08-16,70,False
2015-08-23,69,False
2015-08-30,80,False
2015-09-06,80,False
2015-09-13,82,False
2015-09-20,70,False
2015-09-27,79,False
2015-10-04,46,False
2015-10-11,56,False
2015-10-18,69,False
2015-10-25,83,False
2015-11-01,90,False
2015-11-08,72,False
2015-11-15,73,False
2015-11-22,61,False
2015-11-29,55,False
2015-12-06,66,False
2015-12-13,54,False
2015-12-20,52,False
2015-12-27,76,False
