date,uneasy,isPartial
2011-01-02,21,False
2011-01-09,48,False
2011-01-16,45,False
2011-01-23,72,False
2011-01-30,39,False
2011-02-06,46,False
2011-02-13,61,False
2011-02-20,52,False
2011-02-27,100,False
2011-03-06,72,False
2011-03-13,30,False
2011-03-20,66,False
2011-03-27,51,False
2011-04-03,51,False
2011-04-10,73,False
2011-04-17,38,False
2011-04-24,62,False
2011-05-01,71,False
2011-05-08,76,False
2011-05-15,100,False
2011-05-22,54,False
2011-05-29,63,False
2011-06-05,54,False
2011-06-12,64,False
2011-06-19,45,False
2011-06-26,27,False
2011-07-03,80,False
2011-07-10,73,False
2011-07-17,66,False
2011-07-24,41,False
2011-07-31,46,False
2011-08-07,41,False
2011-08-14,65,False
2011-08-21,87,False
2011-08-28,80,False
2011-09-04,74,False
2011-09-11,59,False
2011-09-18,44,False
2011-09-25,44,False
2011-10-02,64,False
2011-10-09,32,False
2011-10-16,36,False
2011-10-23,49,False
2011-10-30,44,False
2011-11-06,39,False
2011-11-13,34,False
2011-11-20,59,False
2011-11-27,46,False
2011-12-04,55,False
2011-12-11,32,False
2011-12-18,46,False
2011-12-25,35,False
