date,uneasy,isPartial
2013-01-06,54,False
2013-01-13,68,False
2013-01-20,42,False
2013-01-27,69,False
2013-02-03,75,False
2013-02-10,59,False
2013-02-17,49,False
2013-02-24,70,False
2013-03-03,59,False
2013-03-10,71,False
2013-03-17,76,False
2013-03-24,61,False
2013-03-31,60,False
2013-04-07,74,False
2013-04-14,75,False
2013-04-21,60,False
2013-04-28,45,False
2013-05-05,86,False
2013-05-12,49,False
2013-05-19,50,False
2013-05-26,62,False
2013-06-02,65,False
2013-06-09,87,False
2013-06-16,69,False
2013-06-23,41,False
2013-06-30,67,False
2013-07-07,53,False
2013-07-14,60,False
2013-07-21,61,False
2013-07-28,48,False
2013-08-04,72,False
2013-08-11,61,False
2013-08-18,65,False
2013-08-25,67,False
2013-09-01,56,False
2013-09-08,100,False
2013-09-15,74,False
2013-09-22,55,False
2013-09-29,86,False
2013-10-06,71,False
2013-10-13,67,False
2013-10-20,81,False
2013-10-27,97,False
2013-11-03,94,False
2013-11-10,50,False
2013-11-17,63,False
2013-11-24,59,False
2013-12-01,73,False
2013-12-08,84,False
2013-12-15,71,False
2013-12-22,49,False
2013-12-29,86,False
