date,uneasy,isPartial
2014-01-05,81,False
2014-01-12,69,False
2014-01-19,60,False
2014-01-26,68,False
2014-02-02,70,False
2014-02-09,67,False
2014-02-16,64,False
2014-02-23,83,False
2014-03-02,86,False
2014-03-09,70,False
2014-03-16,66,False
2014-03-23,75,False
2014-03-30,77,False
2014-04-06,74,False
2014-04-13,70,False
2014-04-20,75,False
2014-04-27,62,False
2014-05-04,84,False
2014-05-11,68,False
2014-05-18,81,False
2014-05-25,73,False
2014-06-01,60,False
2014-06-08,55,False
2014-06-15,58,False
2014-06-22,66,False
2014-06-29,79,False
2014-07-06,45,False
2014-07-13,76,False
2014-07-20,61,False
2014-07-27,38,False
2014-08-03,60,False
2014-08-10,58,False
2014-08-17,80,False
2014-08-24,67,False
2014-08-31,57,False
2014-09-07,67,False
2014-09-14,79,False
2014-09-21,53,False
2014-09-28,63,False
2014-10-05,78,False
2014-10-12,100,False
2014-10-19,70,False
2014-10-26,74,False
2014-11-02,47,False
2014-11-09,58,False
2014-11-16,64,False
2014-11-23,54,False
2014-11-30,79,False
2014-12-07,79,False
2014-12-14,55,False
2014-12-21,56,False
2014-12-28,69,False
