geoName,uneasy
Alabama,31
Alaska,0
Arizona,43
Arkansas,20
California,46
Colorado,34
Connecticut,16
Delaware,100
District of Columbia,56
Florida,39
Georgia,35
Hawaii,35
Idaho,17
Illinois,36
Indiana,39
Iowa,42
Kansas,38
Kentucky,40
Louisiana,52
Maine,96
Maryland,25
Massachusetts,40
Michigan,40
Minnesota,37
Mississippi,30
Missouri,34
Montana,0
Nebraska,44
Nevada,52
New Hampshire,31
New Jersey,38
New Mexico,69
New York,39
North Carolina,47
North Dakota,0
Ohio,30
Oklahoma,32
Oregon,21
Pennsylvania,30
Rhode Island,59
South Carolina,35
South Dakota,0
Tennessee,47
Texas,46
Utah,25
Vermont,0
Virginia,43
Washington,26
West Virginia,99
Wisconsin,19
Wyoming,0
