geoName,uneasy
Alabama,59
Alaska,0
Arizona,42
Arkansas,58
California,62
Colorado,46
Connecticut,76
Delaware,33
District of Columbia,36
Florida,51
Georgia,46
Hawaii,45
Idaho,59
Illinois,59
Indiana,66
Iowa,44
Kansas,44
Kentucky,54
Louisiana,95
Maine,61
Maryland,51
Massachusetts,58
Michigan,52
Minnesota,44
Mississippi,79
Missouri,65
Montana,0
Nebraska,20
Nevada,83
New Hampshire,46
New Jersey,55
New Mexico,27
New York,51
North Carolina,59
North Dakota,0
Ohio,42
Oklahoma,51
Oregon,34
Pennsylvania,52
Rhode Island,100
South Carolina,44
South Dakota,0
Tennessee,69
Texas,55
Utah,41
Vermont,0
Virginia,51
Washington,39
West Virginia,75
Wisconsin,28
Wyoming,0
