geoName,uneasy
Alabama,23
Alaska,0
Arizona,49
Arkansas,51
California,45
Colorado,36
Connecticut,42
Delaware,0
District of Columbia,33
Florida,35
Georgia,43
Hawaii,9
Idaho,70
Illinois,31
Indiana,38
Iowa,26
Kansas,22
Kentucky,51
Louisiana,41
Maine,55
Maryland,34
Massachusetts,33
Michigan,41
Minnesota,36
Mississippi,54
Missouri,23
Montana,0
Nebraska,30
Nevada,47
New Hampshire,28
New Jersey,40
New Mexico,40
New York,42
North Carolina,42
North Dakota,0
Ohio,45
Oklahoma,42
Oregon,30
Pennsylvania,63
Rhode Island,48
South Carolina,37
South Dakota,0
Tennessee,50
Texas,32
Utah,31
Vermont,0
Virginia,41
Washington,25
West Virginia,100
Wisconsin,16
Wyoming,0
