date,uneasy,isPartial
2016-01-03,75,False
2016-01-10,72,False
2016-01-17,54,False
2016-01-24,78,False
2016-01-31,69,False
2016-02-07,54,False
2016-02-14,63,False
2016-02-21,69,False
2016-02-28,88,False
2016-03-06,76,False
2016-03-13,72,False
2016-03-20,57,False
2016-03-27,75,False
2016-04-03,80,False
2016-04-10,76,False
2016-04-17,74,False
2016-04-24,85,False
2016-05-01,56,False
2016-05-08,77,False
2016-05-15,77,False
2016-05-22,87,False
2016-05-29,70,False
2016-06-05,71,False
2016-06-12,65,False
2016-06-19,64,False
2016-06-26,68,False
2016-07-03,54,False
2016-07-10,48,False
2016-07-17,53,False
2016-07-24,61,False
2016-07-31,68,False
2016-08-07,45,False
2016-08-14,56,False
2016-08-21,66,False
2016-08-28,55,False
2016-09-04,66,False
2016-09-11,92,False
2016-09-18,100,False
2016-09-25,81,False
2016-10-02,86,False
2016-10-09,83,False
2016-10-16,93,False
2016-10-23,97,False
2016-10-30,76,False
2016-11-06,69,False
2016-11-13,82,False
2016-11-20,56,False
2016-11-27,68,False
2016-12-04,73,False
2016-12-11,78,False
2016-12-18,44,False
2016-12-25,56,False
