geoName,catatonic
Alabama,55
Alaska,100
Arizona,60
Arkansas,62
California,50
Colorado,42
Connecticut,44
Delaware,60
District of Columbia,24
Florida,44
Georgia,48
Hawaii,70
Idaho,48
Illinois,49
Indiana,61
Iowa,56
Kansas,31
Kentucky,48
Louisiana,50
Maine,62
Maryland,63
Massachusetts,45
Michigan,65
Minnesota,57
Mississippi,32
Missouri,59
Montana,30
Nebraska,37
Nevada,50
New Hampshire,39
New Jersey,48
New Mexico,38
New York,60
North Carolina,60
North Dakota,24
Ohio,43
Oklahoma,27
Oregon,22
Pennsylvania,53
Rhode Island,47
South Carolina,44
South Dakota,61
Tennessee,62
Texas,47
Utah,50
Vermont,47
Virginia,37
Washington,51
West Virginia,39
Wisconsin,54
Wyoming,38
