date,catatonic,isPartial
2011-01-02,48,False
2011-01-09,70,False
2011-01-16,63,False
2011-01-23,42,False
2011-01-30,40,False
2011-02-06,67,False
2011-02-13,87,False
2011-02-20,76,False
2011-02-27,67,False
2011-03-06,86,False
2011-03-13,50,False
2011-03-20,82,False
2011-03-27,84,False
2011-04-03,59,False
2011-04-10,73,False
2011-04-17,78,False
2011-04-24,70,False
2011-05-01,74,False
2011-05-08,68,False
2011-05-15,61,False
2011-05-22,69,False
2011-05-29,48,False
2011-06-05,66,False
2011-06-12,69,False
2011-06-19,50,False
2011-06-26,70,False
2011-07-03,53,False
2011-07-10,63,False
2011-07-17,56,False
2011-07-24,59,False
2011-07-31,57,False
2011-08-07,57,False
2011-08-14,60,False
2011-08-21,58,False
2011-08-28,58,False
2011-09-04,64,False
2011-09-11,54,False
2011-09-18,79,False
2011-09-25,69,False
2011-10-02,65,False
2011-10-09,64,False
2011-10-16,68,False
2011-10-23,54,False
2011-10-30,75,False
2011-11-06,70,False
2011-11-13,83,False
2011-11-20,72,False
2011-11-27,80,False
2011-12-04,100,False
2011-12-11,83,False
2011-12-18,57,False
2011-12-25,46,False
