date,catatonic,isPartial
2016-01-03,92,False
2016-01-10,64,False
2016-01-17,87,False
2016-01-24,77,False
2016-01-31,67,False
2016-02-07,79,False
2016-02-14,66,False
2016-02-21,87,False
2016-02-28,84,False
2016-03-06,71,False
2016-03-13,72,False
2016-03-20,84,False
2016-03-27,75,False
2016-04-03,86,False
2016-04-10,77,False
2016-04-17,81,False
2016-04-24,100,False
2016-05-01,98,False
2016-05-08,89,False
2016-05-15,87,False
2016-05-22,86,False
2016-05-29,44,False
2016-06-05,92,False
2016-06-12,56,False
2016-06-19,72,False
2016-06-26,76,False
2016-07-03,79,False
2016-07-10,68,False
2016-07-17,78,False
2016-07-24,70,False
2016-07-31,63,False
2016-08-07,62,False
2016-08-14,54,False
2016-08-21,54,False
2016-08-28,56,False
2016-09-04,71,False
2016-09-11,69,False
2016-09-18,74,False
2016-09-25,55,False
2016-10-02,67,False
2016-10-09,74,False
2016-10-16,75,False
2016-10-23,73,False
2016-10-30,81,False
2016-11-06,89,False
2016-11-13,84,False
2016-11-20,70,False
2016-11-27,73,False
2016-12-04,89,False
2016-12-11,97,False
2016-12-18,76,False
2016-12-25,52,False
