date,catatonic,isPartial
2013-01-06,75,False
2013-01-13,54,False
2013-01-20,54,False
2013-01-27,67,False
2013-02-03,70,False
2013-02-10,66,False
2013-02-17,83,False
2013-02-24,70,False
2013-03-03,87,False
2013-03-10,70,False
2013-03-17,76,False
2013-03-24,80,False
2013-03-31,85,False
2013-04-07,79,False
2013-04-14,65,False
2013-04-21,92,False
2013-04-28,100,False
2013-05-05,81,False
2013-05-12,99,False
2013-05-19,95,False
2013-05-26,68,False
2013-06-02,88,False
2013-06-09,70,False
2013-06-16,60,False
2013-06-23,46,False
2013-06-30,58,False
2013-07-07,76,False
2013-07-14,70,False
2013-07-21,50,False
2013-07-28,75,False
2013-08-04,67,False
2013-08-11,72,False
2013-08-18,87,False
2013-08-25,57,False
2013-09-01,69,False
2013-09-08,72,False
2013-09-15,69,False
2013-09-22,67,False
2013-09-29,71,False
2013-10-06,92,False
2013-10-13,85,False
2013-10-20,66,False
2013-10-27,62,False
2013-11-03,79,False
2013-11-10,60,False
2013-11-17,85,False
2013-11-24,73,False
2013-12-01,75,False
2013-12-08,86,False
2013-12-15,69,False
2013-12-22,60,False
2013-12-29,50,False
