date,catatonic,isPartial
2014-01-05,46,False
2014-01-12,48,False
2014-01-19,51,False
2014-01-26,62,False
2014-02-02,52,False
2014-02-09,56,False
2014-02-16,95,False
2014-02-23,100,False
2014-03-02,72,False
2014-03-09,76,False
2014-03-16,73,False
2014-03-23,85,False
2014-03-30,74,False
2014-04-06,68,False
2014-04-13,82,False
2014-04-20,85,False
2014-04-27,81,False
2014-05-04,86,False
2014-05-11,70,False
2014-05-18,67,False
2014-05-25,61,False
2014-06-01,61,False
2014-06-08,78,False
2014-06-15,53,False
2014-06-22,60,False
2014-06-29,57,False
2014-07-06,53,False
2014-07-13,49,False
2014-07-20,69,False
2014-07-27,41,False
2014-08-03,55,False
2014-08-10,76,False
2014-08-17,64,False
2014-08-24,37,False
2014-08-31,47,False
2014-09-07,51,False
2014-09-14,63,False
2014-09-21,52,False
2014-09-28,58,False
2014-10-05,59,False
2014-10-12,44,False
2014-10-19,61,False
2014-10-26,63,False
2014-11-02,51,False
2014-11-09,47,False
2014-11-16,73,False
2014-11-23,49,False
2014-11-30,80,False
2014-12-07,69,False
2014-12-14,84,False
2014-12-21,47,False
2014-12-28,49,False
