geoName,catatonic
Alabama,60
Alaska,100
Arizona,78
Arkansas,31
California,63
Colorado,66
Connecticut,65
Delaware,83
District of Columbia,51
Florida,59
Georgia,44
Hawaii,41
Idaho,51
Illinois,51
Indiana,56
Iowa,48
Kansas,77
Kentucky,70
Louisiana,61
Maine,85
Maryland,69
Massachusetts,66
Michigan,60
Minnesota,52
Mississippi,64
Missouri,55
Montana,28
Nebraska,36
Nevada,65
New Hampshire,75
New Jersey,69
New Mexico,59
New York,65
North Carolina,73
North Dakota,84
Ohio,66
Oklahoma,43
Oregon,45
Pennsylvania,49
Rhode Island,76
South Carolina,58
South Dakota,53
Tennessee,61
Texas,54
Utah,51
Vermont,64
Virginia,52
Washington,67
West Virginia,47
Wisconsin,90
Wyoming,54
