date,skills,isPartial
2013-01-06,83,False
2013-01-13,85,False
2013-01-20,82,False
2013-01-27,90,False
2013-02-03,89,False
2013-02-10,82,False
2013-02-17,89,False
2013-02-24,90,False
2013-03-03,89,False
2013-03-10,83,False
2013-03-17,87,False
2013-03-24,78,False
2013-03-31,82,False
2013-04-07,92,False
2013-04-14,87,False
2013-04-21,91,False
2013-04-28,88,False
2013-05-05,85,False
2013-05-12,89,False
2013-05-19,82,False
2013-05-26,78,False
2013-06-02,81,False
2013-06-09,77,False
2013-06-16,73,False
2013-06-23,75,False
2013-06-30,66,False
2013-07-07,74,False
2013-07-14,72,False
2013-07-21,72,False
2013-07-28,73,False
2013-08-04,74,False
2013-08-11,75,False
2013-08-18,81,False
2013-08-25,86,False
2013-09-01,87,False
2013-09-08,100,False
2013-09-15,95,False
2013-09-22,93,False
2013-09-29,90,False
2013-10-06,92,False
2013-10-13,92,False
2013-10-20,90,False
2013-10-27,87,False
2013-11-03,93,False
2013-11-10,88,False
2013-11-17,93,False
2013-11-24,66,False
2013-12-01,83,False
2013-12-08,82,False
2013-12-15,71,False
2013-12-22,46,False
2013-12-29,57,False
