geoName,skills
Alabama,77
Alaska,73
Arizona,62
Arkansas,86
California,62
Colorado,58
Connecticut,70
Delaware,92
District of Columbia,50
Florida,64
Georgia,68
Hawaii,84
Idaho,81
Illinois,76
Indiana,78
Iowa,96
Kansas,68
Kentucky,69
Louisiana,83
Maine,69
Maryland,76
Massachusetts,59
Michigan,69
Minnesota,70
Mississippi,86
Missouri,72
Montana,64
Nebraska,66
Nevada,71
New Hampshire,72
New Jersey,68
New Mexico,78
New York,54
North Carolina,75
North Dakota,81
Ohio,71
Oklahoma,79
Oregon,72
Pennsylvania,66
Rhode Island,71
South Carolina,79
South Dakota,85
Tennessee,73
Texas,56
Utah,80
Vermont,72
Virginia,75
Washington,73
West Virginia,83
Wisconsin,75
Wyoming,100
