geoName,skills
Alabama,80
Alaska,71
Arizona,70
Arkansas,98
California,71
Colorado,64
Connecticut,68
Delaware,95
District of Columbia,61
Florida,65
Georgia,70
Hawaii,88
Idaho,90
Illinois,67
Indiana,87
Iowa,100
Kansas,71
Kentucky,79
Louisiana,72
Maine,78
Maryland,83
Massachusetts,66
Michigan,72
Minnesota,74
Mississippi,79
Missouri,70
Montana,73
Nebraska,84
Nevada,71
New Hampshire,78
New Jersey,72
New Mexico,87
New York,63
North Carolina,85
North Dakota,89
Ohio,76
Oklahoma,69
Oregon,57
Pennsylvania,76
Rhode Island,85
South Carolina,80
South Dakota,87
Tennessee,67
Texas,67
Utah,73
Vermont,72
Virginia,78
Washington,74
West Virginia,85
Wisconsin,81
Wyoming,85
