geoName,skills
Alabama,72
Alaska,73
Arizona,66
Arkansas,88
California,64
Colorado,57
Connecticut,66
Delaware,82
District of Columbia,45
Florida,60
Georgia,65
Hawaii,81
Idaho,72
Illinois,62
Indiana,77
Iowa,100
Kansas,72
Kentucky,73
Louisiana,67
Maine,72
Maryland,81
Massachusetts,58
Michigan,66
Minnesota,68
Mississippi,91
Missouri,61
Montana,66
Nebraska,67
Nevada,67
New Hampshire,70
New Jersey,67
New Mexico,82
New York,56
North Carolina,74
North Dakota,99
Ohio,66
Oklahoma,74
Oregon,72
Pennsylvania,68
Rhode Island,80
South Carolina,78
South Dakota,86
Tennessee,67
Texas,57
Utah,69
Vermont,70
Virginia,77
Washington,69
West Virginia,80
Wisconsin,70
Wyoming,77
