geoName,skills
Alabama,83
Alaska,86
Arizona,76
Arkansas,100
California,77
Colorado,70
Connecticut,81
Delaware,91
District of Columbia,68
Florida,73
Georgia,82
Hawaii,85
Idaho,80
Illinois,74
Indiana,91
Iowa,90
Kansas,80
Kentucky,82
Louisiana,82
Maine,84
Maryland,88
Massachusetts,79
Michigan,75
Minnesota,85
Mississippi,96
Missouri,81
Montana,75
Nebraska,82
Nevada,73
New Hampshire,77
New Jersey,80
New Mexico,80
New York,72
North Carolina,84
North Dakota,93
Ohio,82
Oklahoma,78
Oregon,79
Pennsylvania,77
Rhode Island,90
South Carolina,82
South Dakota,84
Tennessee,71
Texas,74
Utah,80
Vermont,90
Virginia,90
Washington,82
West Virginia,84
Wisconsin,82
Wyoming,83
