geoName,skills
Alabama,79
Alaska,68
Arizona,71
Arkansas,96
California,67
Colorado,55
Connecticut,68
Delaware,85
District of Columbia,58
Florida,66
Georgia,69
Hawaii,62
Idaho,77
Illinois,65
Indiana,81
Iowa,100
Kansas,62
Kentucky,68
Louisiana,66
Maine,73
Maryland,82
Massachusetts,68
Michigan,67
Minnesota,72
Mississippi,81
Missouri,69
Montana,64
Nebraska,78
Nevada,64
New Hampshire,73
New Jersey,71
New Mexico,76
New York,60
North Carolina,82
North Dakota,81
Ohio,74
Oklahoma,65
Oregon,46
Pennsylvania,67
Rhode Island,73
South Carolina,70
South Dakota,84
Tennessee,63
Texas,63
Utah,73
Vermont,71
Virginia,64
Washington,72
West Virginia,76
Wisconsin,72
Wyoming,85
