date,skills,isPartial
2016-01-03,82,False
2016-01-10,86,False
2016-01-17,85,False
2016-01-24,99,False
2016-01-31,100,False
2016-02-07,89,False
2016-02-14,90,False
2016-02-21,95,False
2016-02-28,90,False
2016-03-06,91,False
2016-03-13,85,False
2016-03-20,82,False
2016-03-27,79,False
2016-04-03,89,False
2016-04-10,89,False
2016-04-17,85,False
2016-04-24,87,False
2016-05-01,83,False
2016-05-08,83,False
2016-05-15,82,False
2016-05-22,79,False
2016-05-29,68,False
2016-06-05,70,False
2016-06-12,68,False
2016-06-19,68,False
2016-06-26,65,False
2016-07-03,58,False
2016-07-10,63,False
2016-07-17,64,False
2016-07-24,63,False
2016-07-31,62,False
2016-08-07,66,False
2016-08-14,70,False
2016-08-21,81,False
2016-08-28,83,False
2016-09-04,85,False
2016-09-11,91,False
2016-09-18,86,False
2016-09-25,89,False
2016-10-02,85,False
2016-10-09,82,False
2016-10-16,87,False
2016-10-23,86,False
2016-10-30,88,False
2016-11-06,76,False
2016-11-13,85,False
2016-11-20,58,False
2016-11-27,86,False
2016-12-04,89,False
2016-12-11,78,False
2016-12-18,58,False
2016-12-25,55,False
