date,skills,isPartial
2014-01-05,82,False
2014-01-12,90,False
2014-01-19,84,False
2014-01-26,88,False
2014-02-02,90,False
2014-02-09,90,False
2014-02-16,88,False
2014-02-23,93,False
2014-03-02,88,False
2014-03-09,88,False
2014-03-16,85,False
2014-03-23,89,False
2014-03-30,90,False
2014-04-06,91,False
2014-04-13,86,False
2014-04-20,90,False
2014-04-27,88,False
2014-05-04,88,False
2014-05-11,89,False
2014-05-18,83,False
2014-05-25,81,False
2014-06-01,81,False
2014-06-08,77,False
2014-06-15,74,False
2014-06-22,74,False
2014-06-29,66,False
2014-07-06,75,False
2014-07-13,72,False
2014-07-20,77,False
2014-07-27,71,False
2014-08-03,71,False
2014-08-10,73,False
2014-08-17,83,False
2014-08-24,95,False
2014-08-31,90,False
2014-09-07,100,False
2014-09-14,97,False
2014-09-21,93,False
2014-09-28,93,False
2014-10-05,93,False
2014-10-12,88,False
2014-10-19,92,False
2014-10-26,85,False
2014-11-02,88,False
2014-11-09,92,False
2014-11-16,92,False
2014-11-23,64,False
2014-11-30,84,False
2014-12-07,86,False
2014-12-14,74,False
2014-12-21,46,False
2014-12-28,53,False
