geoName,depressed
Alabama,78
Alaska,74
Arizona,79
Arkansas,74
California,79
Colorado,76
Connecticut,78
Delaware,72
District of Columbia,76
Florida,68
Georgia,71
Hawaii,81
Idaho,74
Illinois,77
Indiana,85
Iowa,80
Kansas,73
Kentucky,88
Louisiana,83
Maine,87
Maryland,81
Massachusetts,85
Michigan,84
Minnesota,78
Mississippi,73
Missouri,83
Montana,88
Nebraska,77
Nevada,73
New Hampshire,80
New Jersey,83
New Mexico,87
New York,80
North Carolina,70
North Dakota,69
Ohio,82
Oklahoma,85
Oregon,85
Pennsylvania,87
Rhode Island,94
South Carolina,80
South Dakota,100
Tennessee,77
Texas,71
Utah,77
Vermont,85
Virginia,76
Washington,77
West Virginia,89
Wisconsin,82
Wyoming,87
