geoName,depressed
Alabama,80
Alaska,78
Arizona,65
Arkansas,72
California,77
Colorado,64
Connecticut,92
Delaware,70
District of Columbia,54
Florida,69
Georgia,67
Hawaii,78
Idaho,72
Illinois,76
Indiana,74
Iowa,79
Kansas,61
Kentucky,67
Louisiana,76
Maine,85
Maryland,86
Massachusetts,83
Michigan,80
Minnesota,77
Mississippi,64
Missouri,68
Montana,64
Nebraska,74
Nevada,76
New Hampshire,79
New Jersey,93
New Mexico,86
New York,87
North Carolina,67
North Dakota,82
Ohio,81
Oklahoma,74
Oregon,73
Pennsylvania,92
Rhode Island,92
South Carolina,76
South Dakota,73
Tennessee,72
Texas,75
Utah,74
Vermont,100
Virginia,80
Washington,77
West Virginia,96
Wisconsin,74
Wyoming,91
