date,depressed,isPartial
2013-01-06,85,False
2013-01-13,86,False
2013-01-20,94,False
2013-01-27,89,False
2013-02-03,90,False
2013-02-10,87,False
2013-02-17,88,False
2013-02-24,87,False
2013-03-03,90,False
2013-03-10,87,False
2013-03-17,88,False
2013-03-24,94,False
2013-03-31,87,False
2013-04-07,93,False
2013-04-14,89,False
2013-04-21,90,False
2013-04-28,84,False
2013-05-05,86,False
2013-05-12,87,False
2013-05-19,95,False
2013-05-26,93,False
2013-06-02,90,False
2013-06-09,84,False
2013-06-16,85,False
2013-06-23,79,False
2013-06-30,86,False
2013-07-07,86,False
2013-07-14,85,False
2013-07-21,85,False
2013-07-28,89,False
2013-08-04,80,False
2013-08-11,89,False
2013-08-18,89,False
2013-08-25,83,False
2013-09-01,87,False
2013-09-08,93,False
2013-09-15,85,False
2013-09-22,85,False
2013-09-29,92,False
2013-10-06,89,False
2013-10-13,87,False
2013-10-20,93,False
2013-10-27,90,False
2013-11-03,96,False
2013-11-10,97,False
2013-11-17,100,False
2013-11-24,81,False
2013-12-01,94,False
2013-12-08,87,False
2013-12-15,91,False
2013-12-22,86,False
2013-12-29,99,False
