geoName,depressed
Alabama,71
Alaska,66
Arizona,85
Arkansas,74
California,79
Colorado,76
Connecticut,80
Delaware,98
District of Columbia,63
Florida,70
Georgia,68
Hawaii,79
Idaho,82
Illinois,80
Indiana,83
Iowa,90
Kansas,74
Kentucky,80
Louisiana,72
Maine,74
Maryland,77
Massachusetts,88
Michigan,80
Minnesota,78
Mississippi,78
Missouri,77
Montana,76
Nebraska,83
Nevada,71
New Hampshire,87
New Jersey,83
New Mexico,74
New York,79
North Carolina,75
North Dakota,70
Ohio,85
Oklahoma,74
Oregon,52
Pennsylvania,81
Rhode Island,85
South Carolina,75
South Dakota,59
Tennessee,77
Texas,71
Utah,89
Vermont,89
Virginia,61
Washington,77
West Virginia,100
Wisconsin,82
Wyoming,76
