geoName,depressed
Alabama,69
Alaska,67
Arizona,71
Arkansas,67
California,73
Colorado,67
Connecticut,67
Delaware,84
District of Columbia,67
Florida,67
Georgia,66
Hawaii,82
Idaho,83
Illinois,70
Indiana,80
Iowa,66
Kansas,67
Kentucky,72
Louisiana,67
Maine,80
Maryland,72
Massachusetts,76
Michigan,71
Minnesota,67
Mississippi,73
Missouri,64
Montana,71
Nebraska,61
Nevada,63
New Hampshire,76
New Jersey,79
New Mexico,76
New York,73
North Carolina,69
North Dakota,69
Ohio,73
Oklahoma,75
Oregon,68
Pennsylvania,84
Rhode Island,84
South Carolina,58
South Dakota,69
Tennessee,77
Texas,68
Utah,63
Vermont,84
Virginia,74
Washington,65
West Virginia,100
Wisconsin,69
Wyoming,50
