date,depressed,isPartial
2014-01-05,65,False
2014-01-12,63,False
2014-01-19,66,False
2014-01-26,66,False
2014-02-02,69,False
2014-02-09,66,False
2014-02-16,66,False
2014-02-23,66,False
2014-03-02,64,False
2014-03-09,63,False
2014-03-16,66,False
2014-03-23,65,False
2014-03-30,66,False
2014-04-06,64,False
2014-04-13,63,False
2014-04-20,71,False
2014-04-27,67,False
2014-05-04,67,False
2014-05-11,70,False
2014-05-18,69,False
2014-05-25,70,False
2014-06-01,63,False
2014-06-08,64,False
2014-06-15,59,False
2014-06-22,59,False
2014-06-29,56,False
2014-07-06,62,False
2014-07-13,66,False
2014-07-20,63,False
2014-07-27,61,False
2014-08-03,65,False
2014-08-10,100,False
2014-08-17,74,False
2014-08-24,67,False
2014-08-31,70,False
2014-09-07,67,False
2014-09-14,63,False
2014-09-21,66,False
2014-09-28,67,False
2014-10-05,66,False
2014-10-12,61,False
2014-10-19,69,False
2014-10-26,70,False
2014-11-02,70,False
2014-11-09,74,False
2014-11-16,65,False
2014-11-23,64,False
2014-11-30,70,False
2014-12-07,70,False
2014-12-14,67,False
2014-12-21,62,False
2014-12-28,71,False
