geoName,depressed
Alabama,69
Alaska,82
Arizona,81
Arkansas,77
California,75
Colorado,71
Connecticut,80
Delaware,80
District of Columbia,60
Florida,69
Georgia,72
Hawaii,97
Idaho,81
Illinois,74
Indiana,81
Iowa,84
Kansas,67
Kentucky,83
Louisiana,79
Maine,63
Maryland,77
Massachusetts,81
Michigan,73
Minnesota,75
Mississippi,75
Missouri,82
Montana,84
Nebraska,73
Nevada,81
New Hampshire,82
New Jersey,76
New Mexico,100
New York,75
North Carolina,75
North Dakota,87
Ohio,83
Oklahoma,66
Oregon,59
Pennsylvania,83
Rhode Island,88
South Carolina,81
South Dakota,75
Tennessee,80
Texas,69
Utah,83
Vermont,90
Virginia,50
Washington,70
West Virginia,98
Wisconsin,76
Wyoming,68
