geoName,dejected
Alabama,98
Alaska,0
Arizona,77
Arkansas,94
California,62
Colorado,49
Connecticut,49
Delaware,58
District of Columbia,64
Florida,63
Georgia,58
Hawaii,58
Idaho,53
Illinois,52
Indiana,32
Iowa,60
Kansas,49
Kentucky,56
Louisiana,61
Maine,18
Maryland,68
Massachusetts,63
Michigan,99
Minnesota,51
Mississippi,73
Missouri,46
Montana,0
Nebraska,26
Nevada,61
New Hampshire,63
New Jersey,50
New Mexico,0
New York,54
North Carolina,58
North Dakota,0
Ohio,70
Oklahoma,59
Oregon,15
Pennsylvania,49
Rhode Island,100
South Carolina,52
South Dakota,0
Tennessee,59
Texas,61
Utah,50
Vermont,0
Virginia,62
Washington,65
West Virginia,80
Wisconsin,59
Wyoming,0
