geoName,dejected
Alabama,55
Alaska,0
Arizona,53
Arkansas,47
California,52
Colorado,26
Connecticut,35
Delaware,47
District of Columbia,62
Florida,56
Georgia,37
Hawaii,43
Idaho,59
Illinois,43
Indiana,59
Iowa,50
Kansas,44
Kentucky,46
Louisiana,36
Maine,25
Maryland,40
Massachusetts,31
Michigan,42
Minnesota,46
Mississippi,26
Missouri,45
Montana,0
Nebraska,41
Nevada,60
New Hampshire,53
New Jersey,46
New Mexico,19
New York,44
North Carolina,40
North Dakota,0
Ohio,47
Oklahoma,48
Oregon,32
Pennsylvania,42
Rhode Island,100
South Carolina,62
South Dakota,0
Tennessee,33
Texas,44
Utah,51
Vermont,0
Virginia,43
Washington,42
West Virginia,50
Wisconsin,42
Wyoming,0
