date,dejected,isPartial
2015-01-04,54,False
2015-01-11,33,False
2015-01-18,60,False
2015-01-25,41,False
2015-02-01,75,False
2015-02-08,57,False
2015-02-15,45,False
2015-02-22,52,False
2015-03-01,42,False
2015-03-08,55,False
2015-03-15,46,False
2015-03-22,42,False
2015-03-29,43,False
2015-04-05,37,False
2015-04-12,41,False
2015-04-19,54,False
2015-04-26,61,False
2015-05-03,54,False
2015-05-10,51,False
2015-05-17,44,False
2015-05-24,50,False
2015-05-31,28,False
2015-06-07,30,False
2015-06-14,23,False
2015-06-21,34,False
2015-06-28,21,False
2015-07-05,38,False
2015-07-12,36,False
2015-07-19,30,False
2015-07-26,28,False
2015-08-02,34,False
2015-08-09,47,False
2015-08-16,35,False
2015-08-23,38,False
2015-08-30,46,False
2015-09-06,63,False
2015-09-13,80,False
2015-09-20,67,False
2015-09-27,100,False
2015-10-04,70,False
2015-10-11,53,False
2015-10-18,81,False
2015-10-25,75,False
2015-11-01,75,False
2015-11-08,64,False
2015-11-15,64,False
2015-11-22,40,False
2015-11-29,99,False
2015-12-06,61,False
2015-12-13,54,False
2015-12-20,27,False
2015-12-27,31,False
