date,dejected,isPartial
2016-01-03,67,False
2016-01-10,68,False
2016-01-17,74,False
2016-01-24,50,False
2016-01-31,49,False
2016-02-07,89,False
2016-02-14,61,False
2016-02-21,59,False
2016-02-28,67,False
2016-03-06,78,False
2016-03-13,61,False
2016-03-20,54,False
2016-03-27,63,False
2016-04-03,60,False
2016-04-10,78,False
2016-04-17,65,False
2016-04-24,70,False
2016-05-01,76,False
2016-05-08,78,False
2016-05-15,58,False
2016-05-22,48,False
2016-05-29,37,False
2016-06-05,37,False
2016-06-12,78,False
2016-06-19,56,False
2016-06-26,44,False
2016-07-03,36,False
2016-07-10,25,False
2016-07-17,28,False
2016-07-24,26,False
2016-07-31,26,False
2016-08-07,31,False
2016-08-14,21,False
2016-08-21,60,False
2016-08-28,56,False
2016-09-04,67,False
2016-09-11,60,False
2016-09-18,67,False
2016-09-25,65,False
2016-10-02,63,False
2016-10-09,70,False
2016-10-16,71,False
2016-10-23,100,False
2016-10-30,56,False
2016-11-06,71,False
2016-11-13,66,False
2016-11-20,64,False
2016-11-27,67,False
2016-12-04,58,False
2016-12-11,56,False
2016-12-18,44,False
2016-12-25,19,False
