date,dejected,isPartial
2012-01-01,30,False
2012-01-08,59,False
2012-01-15,38,False
2012-01-22,45,False
2012-01-29,32,False
2012-02-05,45,False
2012-02-12,32,False
2012-02-19,45,False
2012-02-26,51,False
2012-03-04,28,False
2012-03-11,51,False
2012-03-18,38,False
2012-03-25,23,False
2012-04-01,41,False
2012-04-08,50,False
2012-04-15,25,False
2012-04-22,55,False
2012-04-29,32,False
2012-05-06,50,False
2012-05-13,35,False
2012-05-20,48,False
2012-05-27,24,False
2012-06-03,31,False
2012-06-10,28,False
2012-06-17,23,False
2012-06-24,20,False
2012-07-01,29,False
2012-07-08,40,False
2012-07-15,37,False
2012-07-22,35,False
2012-07-29,43,False
2012-08-05,37,False
2012-08-12,27,False
2012-08-19,45,False
2012-08-26,27,False
2012-09-02,52,False
2012-09-09,55,False
2012-09-16,50,False
2012-09-23,59,False
2012-09-30,100,False
2012-10-07,50,False
2012-10-14,65,False
2012-10-21,54,False
2012-10-28,55,False
2012-11-04,60,False
2012-11-11,58,False
2012-11-18,43,False
2012-11-25,43,False
2012-12-02,76,False
2012-12-09,37,False
2012-12-16,74,False
2012-12-23,20,False
2012-12-30,35,False
