date,dejected,isPartial
2011-01-02,56,False
2011-01-09,69,False
2011-01-16,59,False
2011-01-23,49,False
2011-01-30,37,False
2011-02-06,100,False
2011-02-13,69,False
2011-02-20,74,False
2011-02-27,67,False
2011-03-06,57,False
2011-03-13,50,False
2011-03-20,67,False
2011-03-27,67,False
2011-04-03,48,False
2011-04-10,52,False
2011-04-17,44,False
2011-04-24,67,False
2011-05-01,43,False
2011-05-08,34,False
2011-05-15,72,False
2011-05-22,54,False
2011-05-29,41,False
2011-06-05,78,False
2011-06-12,74,False
2011-06-19,38,False
2011-06-26,39,False
2011-07-03,61,False
2011-07-10,43,False
2011-07-17,61,False
2011-07-24,14,False
2011-07-31,23,False
2011-08-07,46,False
2011-08-14,61,False
2011-08-21,41,False
2011-08-28,50,False
2011-09-04,50,False
2011-09-11,57,False
2011-09-18,35,False
2011-09-25,52,False
2011-10-02,56,False
2011-10-09,47,False
2011-10-16,90,False
2011-10-23,63,False
2011-10-30,87,False
2011-11-06,42,False
2011-11-13,62,False
2011-11-20,49,False
2011-11-27,52,False
2011-12-04,76,False
2011-12-11,56,False
2011-12-18,39,False
2011-12-25,31,False
