date,dejected,isPartial
2014-01-05,74,False
2014-01-12,72,False
2014-01-19,58,False
2014-01-26,60,False
2014-02-02,59,False
2014-02-09,49,False
2014-02-16,67,False
2014-02-23,60,False
2014-03-02,50,False
2014-03-09,76,False
2014-03-16,54,False
2014-03-23,64,False
2014-03-30,58,False
2014-04-06,50,False
2014-04-13,33,False
2014-04-20,47,False
2014-04-27,63,False
2014-05-04,53,False
2014-05-11,67,False
2014-05-18,43,False
2014-05-25,51,False
2014-06-01,35,False
2014-06-08,50,False
2014-06-15,70,False
2014-06-22,34,False
2014-06-29,26,False
2014-07-06,48,False
2014-07-13,34,False
2014-07-20,29,False
2014-07-27,38,False
2014-08-03,50,False
2014-08-10,33,False
2014-08-17,47,False
2014-08-24,34,False
2014-08-31,48,False
2014-09-07,59,False
2014-09-14,91,False
2014-09-21,65,False
2014-09-28,78,False
2014-10-05,80,False
2014-10-12,93,False
2014-10-19,100,False
2014-10-26,58,False
2014-11-02,50,False
2014-11-09,52,False
2014-11-16,95,False
2014-11-23,44,False
2014-11-30,86,False
2014-12-07,60,False
2014-12-14,55,False
2014-12-21,21,False
2014-12-28,17,False
