geoName,dejected
Alabama,35
Alaska,0
Arizona,32
Arkansas,49
California,58
Colorado,47
Connecticut,27
Delaware,21
District of Columbia,31
Florida,53
Georgia,60
Hawaii,70
Idaho,11
Illinois,48
Indiana,58
Iowa,34
Kansas,48
Kentucky,27
Louisiana,38
Maine,47
Maryland,74
Massachusetts,50
Michigan,40
Minnesota,64
Mississippi,69
Missouri,60
Montana,0
Nebraska,14
Nevada,40
New Hampshire,37
New Jersey,74
New Mexico,42
New York,57
North Carolina,73
North Dakota,0
Ohio,48
Oklahoma,64
Oregon,18
Pennsylvania,60
Rhode Island,100
South Carolina,63
South Dakota,0
Tennessee,50
Texas,51
Utah,52
Vermont,0
Virginia,38
Washington,37
West Virginia,51
Wisconsin,30
Wyoming,0
