date,monitor,isPartial
2015-01-04,92,False
2015-01-11,90,False
2015-01-18,88,False
2015-01-25,87,False
2015-02-01,87,False
2015-02-08,84,False
2015-02-15,87,False
2015-02-22,83,False
2015-03-01,85,False
2015-03-08,86,False
2015-03-15,81,False
2015-03-22,85,False
2015-03-29,83,False
2015-04-05,84,False
2015-04-12,86,False
2015-04-19,85,False
2015-04-26,80,False
2015-05-03,81,False
2015-05-10,82,False
2015-05-17,85,False
2015-05-24,83,False
2015-05-31,87,False
2015-06-07,88,False
2015-06-14,86,False
2015-06-21,90,False
2015-06-28,83,False
2015-07-05,85,False
2015-07-12,91,False
2015-07-19,90,False
2015-07-26,92,False
2015-08-02,90,False
2015-08-09,89,False
2015-08-16,90,False
2015-08-23,91,False
2015-08-30,89,False
2015-09-06,85,False
2015-09-13,83,False
2015-09-20,81,False
2015-09-27,81,False
2015-10-04,87,False
2015-10-11,81,False
2015-10-18,81,False
2015-10-25,83,False
2015-11-01,83,False
2015-11-08,88,False
2015-11-15,88,False
2015-11-22,100,False
2015-11-29,99,False
2015-12-06,92,False
2015-12-13,88,False
2015-12-20,89,False
2015-12-27,90,False
