date,monitor,isPartial
2013-01-06,94,False
2013-01-13,94,False
2013-01-20,94,False
2013-01-27,90,False
2013-02-03,91,False
2013-02-10,88,False
2013-02-17,91,False
2013-02-24,93,False
2013-03-03,94,False
2013-03-10,93,False
2013-03-17,93,False
2013-03-24,87,False
2013-03-31,91,False
2013-04-07,91,False
2013-04-14,88,False
2013-04-21,90,False
2013-04-28,89,False
2013-05-05,86,False
2013-05-12,86,False
2013-05-19,85,False
2013-05-26,84,False
2013-06-02,89,False
2013-06-09,90,False
2013-06-16,88,False
2013-06-23,88,False
2013-06-30,84,False
2013-07-07,86,False
2013-07-14,90,False
2013-07-21,87,False
2013-07-28,89,False
2013-08-04,92,False
2013-08-11,93,False
2013-08-18,94,False
2013-08-25,91,False
2013-09-01,89,False
2013-09-08,90,False
2013-09-15,88,False
2013-09-22,88,False
2013-09-29,87,False
2013-10-06,84,False
2013-10-13,84,False
2013-10-20,91,False
2013-10-27,91,False
2013-11-03,87,False
2013-11-10,91,False
2013-11-17,96,False
2013-11-24,100,False
2013-12-01,98,False
2013-12-08,92,False
2013-12-15,90,False
2013-12-22,89,False
2013-12-29,92,False
