date,monitor,isPartial
2012-01-01,66,False
2012-01-08,65,False
2012-01-15,65,False
2012-01-22,64,False
2012-01-29,65,False
2012-02-05,63,False
2012-02-12,60,False
2012-02-19,63,False
2012-02-26,64,False
2012-03-04,66,False
2012-03-11,63,False
2012-03-18,60,False
2012-03-25,59,False
2012-04-01,57,False
2012-04-08,61,False
2012-04-15,59,False
2012-04-22,58,False
2012-04-29,62,False
2012-05-06,59,False
2012-05-13,61,False
2012-05-20,60,False
2012-05-27,58,False
2012-06-03,58,False
2012-06-10,60,False
2012-06-17,100,False
2012-06-24,76,False
2012-07-01,61,False
2012-07-08,66,False
2012-07-15,64,False
2012-07-22,66,False
2012-07-29,61,False
2012-08-05,63,False
2012-08-12,63,False
2012-08-19,64,False
2012-08-26,64,False
2012-09-02,62,False
2012-09-09,60,False
2012-09-16,59,False
2012-09-23,61,False
2012-09-30,62,False
2012-10-07,58,False
2012-10-14,57,False
2012-10-21,61,False
2012-10-28,56,False
2012-11-04,59,False
2012-11-11,59,False
2012-11-18,64,False
2012-11-25,67,False
2012-12-02,63,False
2012-12-09,62,False
2012-12-16,59,False
2012-12-23,60,False
2012-12-30,60,False
