date,consumed,isPartial
2014-01-05,31,False
2014-01-12,33,False
2014-01-19,37,False
2014-01-26,42,False
2014-02-02,43,False
2014-02-09,40,False
2014-02-16,42,False
2014-02-23,40,False
2014-03-02,43,False
2014-03-09,40,False
2014-03-16,38,False
2014-03-23,36,False
2014-03-30,42,False
2014-04-06,52,False
2014-04-13,43,False
2014-04-20,42,False
2014-04-27,42,False
2014-05-04,40,False
2014-05-11,36,False
2014-05-18,32,False
2014-05-25,29,False
2014-06-01,28,False
2014-06-08,30,False
2014-06-15,26,False
2014-06-22,27,False
2014-06-29,31,False
2014-07-06,28,False
2014-07-13,26,False
2014-07-20,29,False
2014-07-27,22,False
2014-08-03,30,False
2014-08-10,25,False
2014-08-17,24,False
2014-08-24,26,False
2014-08-31,28,False
2014-09-07,40,False
2014-09-14,37,False
2014-09-21,39,False
2014-09-28,48,False
2014-10-05,54,False
2014-10-12,35,False
2014-10-19,39,False
2014-10-26,47,False
2014-11-02,44,False
2014-11-09,52,False
2014-11-16,100,False
2014-11-23,53,False
2014-11-30,50,False
2014-12-07,48,False
2014-12-14,38,False
2014-12-21,19,False
2014-12-28,26,False
