geoName,consumed
Alabama,64
Alaska,47
Arizona,60
Arkansas,62
California,49
Colorado,54
Connecticut,52
Delaware,67
District of Columbia,47
Florida,58
Georgia,53
Hawaii,59
Idaho,57
Illinois,49
Indiana,63
Iowa,74
Kansas,77
Kentucky,50
Louisiana,60
Maine,70
Maryland,51
Massachusetts,44
Michigan,63
Minnesota,54
Mississippi,60
Missouri,64
Montana,48
Nebraska,68
Nevada,46
New Hampshire,48
New Jersey,51
New Mexico,65
New York,46
North Carolina,64
North Dakota,68
Ohio,60
Oklahoma,53
Oregon,35
Pennsylvania,58
Rhode Island,51
South Carolina,69
South Dakota,92
Tennessee,56
Texas,57
Utah,50
Vermont,100
Virginia,46
Washington,51
West Virginia,55
Wisconsin,53
Wyoming,89
