date,consumed,isPartial
2011-01-02,53,False
2011-01-09,55,False
2011-01-16,52,False
2011-01-23,69,False
2011-01-30,81,False
2011-02-06,79,False
2011-02-13,81,False
2011-02-20,90,False
2011-02-27,94,False
2011-03-06,64,False
2011-03-13,72,False
2011-03-20,79,False
2011-03-27,79,False
2011-04-03,87,False
2011-04-10,85,False
2011-04-17,80,False
2011-04-24,77,False
2011-05-01,65,False
2011-05-08,61,False
2011-05-15,66,False
2011-05-22,66,False
2011-05-29,69,False
2011-06-05,68,False
2011-06-12,52,False
2011-06-19,58,False
2011-06-26,60,False
2011-07-03,57,False
2011-07-10,47,False
2011-07-17,57,False
2011-07-24,63,False
2011-07-31,68,False
2011-08-07,46,False
2011-08-14,44,False
2011-08-21,41,False
2011-08-28,64,False
2011-09-04,54,False
2011-09-11,73,False
2011-09-18,86,False
2011-09-25,74,False
2011-10-02,87,False
2011-10-09,82,False
2011-10-16,82,False
2011-10-23,88,False
2011-10-30,82,False
2011-11-06,79,False
2011-11-13,100,False
2011-11-20,82,False
2011-11-27,72,False
2011-12-04,81,False
2011-12-11,68,False
2011-12-18,43,False
2011-12-25,44,False
