date,consumed,isPartial
2015-01-04,55,False
2015-01-11,51,False
2015-01-18,60,False
2015-01-25,83,False
2015-02-01,87,False
2015-02-08,72,False
2015-02-15,65,False
2015-02-22,76,False
2015-03-01,72,False
2015-03-08,74,False
2015-03-15,59,False
2015-03-22,75,False
2015-03-29,69,False
2015-04-05,62,False
2015-04-12,65,False
2015-04-19,61,False
2015-04-26,60,False
2015-05-03,61,False
2015-05-10,70,False
2015-05-17,60,False
2015-05-24,56,False
2015-05-31,58,False
2015-06-07,69,False
2015-06-14,55,False
2015-06-21,58,False
2015-06-28,62,False
2015-07-05,52,False
2015-07-12,54,False
2015-07-19,48,False
2015-07-26,51,False
2015-08-02,40,False
2015-08-09,55,False
2015-08-16,44,False
2015-08-23,57,False
2015-08-30,68,False
2015-09-06,60,False
2015-09-13,80,False
2015-09-20,64,False
2015-09-27,81,False
2015-10-04,92,False
2015-10-11,76,False
2015-10-18,95,False
2015-10-25,88,False
2015-11-01,100,False
2015-11-08,85,False
2015-11-15,84,False
2015-11-22,90,False
2015-11-29,86,False
2015-12-06,82,False
2015-12-13,66,False
2015-12-20,39,False
2015-12-27,37,False
