geoName,consumed
Alabama,55
Alaska,69
Arizona,46
Arkansas,57
California,47
Colorado,58
Connecticut,50
Delaware,100
District of Columbia,46
Florida,60
Georgia,59
Hawaii,50
Idaho,70
Illinois,52
Indiana,54
Iowa,38
Kansas,61
Kentucky,65
Louisiana,49
Maine,32
Maryland,57
Massachusetts,42
Michigan,56
Minnesota,53
Mississippi,57
Missouri,68
Montana,82
Nebraska,52
Nevada,71
New Hampshire,57
New Jersey,51
New Mexico,66
New York,49
North Carolina,48
North Dakota,51
Ohio,56
Oklahoma,62
Oregon,61
Pennsylvania,50
Rhode Island,45
South Carolina,45
South Dakota,71
Tennessee,60
Texas,51
Utah,72
Vermont,70
Virginia,52
Washington,48
West Virginia,53
Wisconsin,53
Wyoming,83
