date,consumed,isPartial
2012-01-01,55,False
2012-01-08,63,False
2012-01-15,71,False
2012-01-22,72,False
2012-01-29,86,False
2012-02-05,92,False
2012-02-12,87,False
2012-02-19,75,False
2012-02-26,82,False
2012-03-04,70,False
2012-03-11,79,False
2012-03-18,76,False
2012-03-25,63,False
2012-04-01,70,False
2012-04-08,76,False
2012-04-15,76,False
2012-04-22,91,False
2012-04-29,74,False
2012-05-06,59,False
2012-05-13,74,False
2012-05-20,73,False
2012-05-27,63,False
2012-06-03,59,False
2012-06-10,62,False
2012-06-17,67,False
2012-06-24,52,False
2012-07-01,63,False
2012-07-08,62,False
2012-07-15,66,False
2012-07-22,58,False
2012-07-29,63,False
2012-08-05,49,False
2012-08-12,43,False
2012-08-19,53,False
2012-08-26,53,False
2012-09-02,60,False
2012-09-09,78,False
2012-09-16,100,False
2012-09-23,90,False
2012-09-30,93,False
2012-10-07,98,False
2012-10-14,85,False
2012-10-21,95,False
2012-10-28,93,False
2012-11-04,85,False
2012-11-11,93,False
2012-11-18,90,False
2012-11-25,95,False
2012-12-02,99,False
2012-12-09,83,False
2012-12-16,58,False
2012-12-23,34,False
2012-12-30,56,False
