geoName,consumed
Alabama,67
Alaska,36
Arizona,58
Arkansas,89
California,55
Colorado,54
Connecticut,53
Delaware,40
District of Columbia,61
Florida,65
Georgia,49
Hawaii,48
Idaho,62
Illinois,58
Indiana,77
Iowa,57
Kansas,64
Kentucky,69
Louisiana,63
Maine,38
Maryland,63
Massachusetts,58
Michigan,69
Minnesota,74
Mississippi,58
Missouri,72
Montana,63
Nebraska,75
Nevada,52
New Hampshire,62
New Jersey,52
New Mexico,76
New York,53
North Carolina,62
North Dakota,56
Ohio,64
Oklahoma,66
Oregon,43
Pennsylvania,61
Rhode Island,63
South Carolina,51
South Dakota,51
Tennessee,48
Texas,53
Utah,58
Vermont,46
Virginia,63
Washington,61
West Virginia,43
Wisconsin,66
Wyoming,100
