date,consumed,isPartial
2016-01-03,51,False
2016-01-10,47,False
2016-01-17,53,False
2016-01-24,58,False
2016-01-31,80,False
2016-02-07,83,False
2016-02-14,64,False
2016-02-21,79,False
2016-02-28,55,False
2016-03-06,68,False
2016-03-13,59,False
2016-03-20,64,False
2016-03-27,61,False
2016-04-03,71,False
2016-04-10,80,False
2016-04-17,100,False
2016-04-24,97,False
2016-05-01,96,False
2016-05-08,64,False
2016-05-15,67,False
2016-05-22,64,False
2016-05-29,54,False
2016-06-05,53,False
2016-06-12,58,False
2016-06-19,48,False
2016-06-26,55,False
2016-07-03,41,False
2016-07-10,42,False
2016-07-17,39,False
2016-07-24,40,False
2016-07-31,36,False
2016-08-07,31,False
2016-08-14,38,False
2016-08-21,42,False
2016-08-28,53,False
2016-09-04,71,False
2016-09-11,87,False
2016-09-18,77,False
2016-09-25,78,False
2016-10-02,76,False
2016-10-09,70,False
2016-10-16,62,False
2016-10-23,75,False
2016-10-30,66,False
2016-11-06,56,False
2016-11-13,76,False
2016-11-20,84,False
2016-11-27,75,False
2016-12-04,66,False
2016-12-11,66,False
2016-12-18,40,False
2016-12-25,41,False
