geoName,weight loss
Alabama,96
Alaska,73
Arizona,81
Arkansas,83
California,62
Colorado,65
Connecticut,70
Delaware,70
District of Columbia,69
Florida,74
Georgia,85
Hawaii,61
Idaho,77
Illinois,67
Indiana,75
Iowa,79
Kansas,62
Kentucky,95
Louisiana,88
Maine,67
Maryland,77
Massachusetts,69
Michigan,74
Minnesota,66
Mississippi,100
Missouri,76
Montana,73
Nebraska,79
Nevada,70
New Hampshire,68
New Jersey,65
New Mexico,71
New York,66
North Carolina,85
North Dakota,84
Ohio,77
Oklahoma,82
Oregon,47
Pennsylvania,73
Rhode Island,71
South Carolina,81
South Dakota,76
Tennessee,94
Texas,74
Utah,76
Vermont,66
Virginia,50
Washington,70
West Virginia,94
Wisconsin,67
Wyoming,81
