geoName,weight loss
Alabama,90
Alaska,70
Arizona,74
Arkansas,82
California,58
Colorado,64
Connecticut,63
Delaware,69
District of Columbia,60
Florida,72
Georgia,82
Hawaii,60
Idaho,78
Illinois,68
Indiana,69
Iowa,72
Kansas,68
Kentucky,89
Louisiana,85
Maine,67
Maryland,74
Massachusetts,65
Michigan,72
Minnesota,69
Mississippi,100
Missouri,75
Montana,71
Nebraska,74
Nevada,71
New Hampshire,65
New Jersey,68
New Mexico,72
New York,64
North Carolina,78
North Dakota,83
Ohio,71
Oklahoma,81
Oregon,38
Pennsylvania,69
Rhode Island,72
South Carolina,81
South Dakota,72
Tennessee,86
Texas,78
Utah,70
Vermont,62
Virginia,58
Washington,67
West Virginia,93
Wisconsin,70
Wyoming,67
