date,weight loss,isPartial
2013-01-06,96,False
2013-01-13,85,False
2013-01-20,86,False
2013-01-27,88,False
2013-02-03,89,False
2013-02-10,82,False
2013-02-17,87,False
2013-02-24,86,False
2013-03-03,87,False
2013-03-10,87,False
2013-03-17,88,False
2013-03-24,84,False
2013-03-31,87,False
2013-04-07,90,False
2013-04-14,79,False
2013-04-21,87,False
2013-04-28,85,False
2013-05-05,84,False
2013-05-12,94,False
2013-05-19,87,False
2013-05-26,94,False
2013-06-02,93,False
2013-06-09,87,False
2013-06-16,87,False
2013-06-23,95,False
2013-06-30,86,False
2013-07-07,91,False
2013-07-14,85,False
2013-07-21,88,False
2013-07-28,92,False
2013-08-04,90,False
2013-08-11,82,False
2013-08-18,83,False
2013-08-25,78,False
2013-09-01,80,False
2013-09-08,80,False
2013-09-15,72,False
2013-09-22,76,False
2013-09-29,76,False
2013-10-06,75,False
2013-10-13,76,False
2013-10-20,72,False
2013-10-27,70,False
2013-11-03,80,False
2013-11-10,75,False
2013-11-17,75,False
2013-11-24,60,False
2013-12-01,69,False
2013-12-08,59,False
2013-12-15,60,False
2013-12-22,68,False
2013-12-29,100,False
